date,timestamp,hour,minute_of_day,day_of_week,is_weekend,station_id,base_demand,modifier,demand_final,station_total,crowd_level,special_event_type,event_flag,holiday_flag,headway_seconds
2025-09-24,2025-09-24 06:00:00,6,360,2,0,S1,0.078565501,1.0,0.078565501,1197,Low,None,0,0,660
2025-09-24,2025-09-24 06:01:00,6,361,2,0,S1,0.08030195,1.0,0.08030195,1224,Low,None,0,0,660
2025-09-24,2025-09-24 06:02:00,6,362,2,0,S1,0.082128086,1.0,0.082128086,1251,Low,None,0,0,660
2025-09-24,2025-09-24 06:03:00,6,363,2,0,S1,0.084047455,1.0,0.084047455,1281,Low,None,0,0,660
2025-09-24,2025-09-24 06:04:00,6,364,2,0,S1,0.086063676,1.0,0.086063676,1311,Low,None,0,0,660
2025-09-24,2025-09-24 06:05:00,6,365,2,0,S1,0.088180434,1.0,0.088180434,1344,Low,None,0,0,660
2025-09-24,2025-09-24 06:06:00,6,366,2,0,S1,0.090401479,1.0,0.090401479,1378,Low,None,0,0,660
2025-09-24,2025-09-24 06:07:00,6,367,2,0,S1,0.092730621,1.0,0.092730621,1413,Low,None,0,0,660
2025-09-24,2025-09-24 06:08:00,6,368,2,0,S1,0.095171725,1.0,0.095171725,1450,Low,None,0,0,660
2025-09-24,2025-09-24 06:09:00,6,369,2,0,S1,0.097728708,1.0,0.097728708,1489,Low,None,0,0,660
2025-09-24,2025-09-24 06:10:00,6,370,2,0,S1,0.1004055333627536,1.0,0.1004055333627536,1530,Low,None,0,0,660
2025-09-24,2025-09-24 06:11:00,6,371,2,0,S1,0.1032062053822325,1.0,0.1032062053822325,1573,Low,None,0,0,660
2025-09-24,2025-09-24 06:12:00,6,372,2,0,S1,0.1061347628341337,1.0,0.1061347628341337,1617,Low,None,0,0,660
2025-09-24,2025-09-24 06:13:00,6,373,2,0,S1,0.1091952734739325,1.0,0.1091952734739325,1664,Low,None,0,0,660
2025-09-24,2025-09-24 06:14:00,6,374,2,0,S1,0.1123918271307013,1.0,0.1123918271307013,1713,Low,None,0,0,660
