timestamp,station_id,base_demand,base_demand_norm,modifier,base_demand_adj,demand_norm_final,weather_code,holiday_flag,event_flag,special_event_type,peak_capacity,lambda,cabin_passenger_count,vip_cabin_passenger_count,cabin_capacity,vip_cabin_capacity,cabin_occupancy,vip_cabin_occupancy,platform_queue_estimate,platform_wait_sec,hour,day_of_week,is_weekend,train_id,carriage_count,headway_seconds
2025-09-23 06:00:00,S1,0.0785655007845503,0.0748242864614765,2.168674698795181,0.17038301374962717,0.07482428646147647,Sunny,1,0,None,220,25.71310015691006,24,1,220,40,10.9,2.5,4,20,6,1,0,TRN045,6,240
2025-09-23 06:01:00,S1,0.0803019500674343,0.0764780476832708,2.168674698795181,0.17414880737515875,0.07647804768327077,Sunny,1,0,None,220,26.06039001348686,30,1,220,40,13.6,2.5,6,27,6,1,0,TRN045,6,240
2025-09-23 06:02:00,S1,0.0821280855748041,0.0782172243569563,2.168674698795181,0.17810910124656312,0.07821722435695629,Sunny,1,0,None,220,26.42561711496082,20,1,220,40,9.1,2.5,2,26,6,1,0,TRN045,6,240
2025-09-23 06:03:00,S1,0.0840474547345993,0.0800451949853326,2.168674698795181,0.18227158858105877,0.08004519498533268,Sunny,1,0,None,220,26.809490946919862,28,1,220,40,12.7,2.5,10,10,6,1,0,TRN045,6,240
2025-09-23 06:04:00,S1,0.0860636756174023,0.081965405349907,2.168674698795181,0.18664411579677612,0.08196540534990696,Sunny,1,0,None,220,27.21273512348046,33,1,220,40,15.0,2.5,2,35,6,1,0,TRN045,6,240
2025-09-23 06:05:00,S1,0.0881804338005357,0.0839813655243198,2.168674698795181,0.19123467571200514,0.0839813655243197,Sunny,1,0,None,220,27.636086760107137,22,1,220,40,10.0,2.5,2,12,6,1,0,TRN045,6,240
2025-09-23 06:06:00,S1,0.0904014788741632,0.0860966465468221,2.168674698795181,0.19605139996806478,0.08609664654682209,Sunny,1,0,None,220,28.08029577483264,25,1,220,40,11.4,2.5,2,31,6,1,0,TRN045,6,240
2025-09-23 06:07:00,S1,0.0927306205788496,0.0883148767417615,2.168674698795181,0.2011025506529269,0.08831487674176154,Sunny,1,0,None,220,28.546124115769924,27,1,220,40,12.3,2.5,3,25,6,1,0,TRN045,6,240
2025-09-23 06:08:00,S1,0.0951717245647246,0.0906397376806901,2.168674698795181,0.20639651110422205,0.0906397376806901,Sunny,1,0,None,220,29.03434491294492,31,1,220,40,14.1,2.5,3,23,6,1,0,TRN045,6,240
2025-09-23 06:09:00,S1,0.0977287077631641,0.093074959774442,2.168674698795181,0.21194177587192217,0.093074959774442,Sunny,1,0,None,220,29.54574155263282,26,1,220,40,11.8,2.5,0,15,6,1,0,TRN045,6,240
2025-09-23 06:10:00,S1,0.1004055333627536,0.0956243174883367,2.168674698795181,0.21774693982283916,0.09562431748833676,Sunny,1,0,None,220,30.08110667255072,29,1,220,40,13.2,2.5,2,32,6,1,0,TRN045,6,240
2025-09-23 06:11:00,S1,0.1032062053822325,0.0982916241735548,2.168674698795181,0.22382068637110666,0.09829162417355476,Sunny,1,0,None,220,30.6412410764465,25,1,220,40,11.4,2.5,3,33,6,1,0,TRN045,6,240
2025-09-23 06:12:00,S1,0.1061347628341337,0.1010807265086987,2.168674698795181,0.23017177482101286,0.10108072650869876,Sunny,1,0,None,220,31.22695256682674,33,1,220,40,15.0,2.5,8,22,6,1,0,TRN045,6,240
2025-09-23 06:13:00,S1,0.1091952734739325,0.1039954985466023,2.168674698795181,0.236809026810938,0.10399549854660238,Sunny,1,0,None,220,31.8390546947865,34,1,220,40,15.5,2.5,11,16,6,1,0,TRN045,6,240
2025-09-23 06:14:00,S1,0.1123918271307013,0.1070398353625726,2.168674698795181,0.2437413118497137,0.10703983536257267,Sunny,1,0,None,220,32.47836542614026,29,1,220,40,13.2,2.5,7,31,6,1,0,TRN045,6,240
2025-09-23 06:15:00,S1,0.1157285286165304,0.1102176463014575,2.168674698795181,0.25097753193946354,0.11021764630145751,Sunny,1,0,None,220,33.14570572330608,36,1,220,40,16.4,2.5,2,15,6,1,0,TRN045,6,240
2025-09-23 06:16:00,S1,0.1192094902133194,0.113532847822209,2.168674698795181,0.2585266052818975,0.11353284782220895,Sunny,1,0,None,220,33.84189804266388,26,1,220,40,11.8,2.5,1,8,6,1,0,TRN045,6,240
2025-09-23 06:17:00,S1,0.1228388237369676,0.1169893559399691,2.168674698795181,0.2663974490681225,0.11698935593996913,Sunny,1,0,None,220,34.56776474739352,30,1,220,40,13.6,2.5,3,14,6,1,0,TRN045,6,240
2025-09-23 06:18:00,S1,0.1266206321804935,0.1205910782671366,2.168674698795181,0.2745989613552871,0.12059107826713665,Sunny,1,0,None,220,35.324126436098695,32,1,220,40,14.5,2.5,9,22,6,1,0,TRN045,6,240
2025-09-23 06:19:00,S1,0.130559000939185,0.1243419056563667,2.168674698795181,0.28314000203678674,0.12434190565636664,Sunny,1,0,None,220,36.11180018783699,37,1,220,40,16.8,2.5,4,17,6,1,0,TRN045,6,240
2025-09-23 06:20:00,S1,0.1346579886225299,0.1282457034500285,2.168674698795181,0.2920293729163299,0.12824570345002845,Sunny,1,0,None,220,36.93159772450598,27,1,220,40,12.3,2.5,0,3,6,1,0,TRN045,6,240
2025-09-23 06:21:00,S1,0.1389216174593863,0.1323063023422726,2.168674698795181,0.30127579689987394,0.13230630234227267,Sunny,1,0,None,220,37.78432349187726,23,1,220,40,10.5,2.5,1,7,6,1,0,TRN045,6,240
2025-09-23 06:22:00,S1,0.143353863304629,0.1365274888615514,2.168674698795181,0.31088789632329183,0.13652748886155142,Sunny,1,0,None,220,38.6707726609258,37,1,220,40,16.8,2.5,7,37,6,1,0,TRN045,6,240
2025-09-23 06:23:00,S1,0.1479586452573397,0.1409129954831807,2.168674698795181,0.32087417043760424,0.14091299548318068,Sunny,1,0,None,220,39.59172905146794,46,1,220,40,20.9,2.5,8,25,6,1,0,TRN045,6,240
2025-09-23 06:24:00,S1,0.1527398149024943,0.1454664903833279,2.168674698795181,0.33124297207769854,0.1454664903833279,Sunny,1,0,None,220,40.54796298049886,36,1,220,40,16.4,2.5,4,26,6,1,0,TRN045,6,240
2025-09-23 06:25:00,S1,0.1577011451900321,0.1501915668476496,2.168674698795181,0.34200248354464796,0.15019156684764962,Sunny,1,0,None,220,41.540229038006416,47,1,220,40,21.4,2.5,8,58,6,1,0,TRN045,6,240
2025-09-23 06:26:00,S1,0.1628463189671638,0.1550917323496798,2.168674698795181,0.35316069173601794,0.15509173234967982,Sunny,1,0,None,220,42.56926379343276,47,1,220,40,21.4,2.5,0,38,6,1,0,TRN045,6,240
2025-09-23 06:27:00,S1,0.1681789171817805,0.1601703973159814,2.168674698795181,0.3647253625628975,0.16017039731598143,Sunny,1,0,None,220,43.6357834363561,49,1,220,40,22.3,2.5,6,44,6,1,0,TRN045,6,240
2025-09-23 06:28:00,S1,0.1737024067768549,0.1654308635970046,2.168674698795181,0.37670401469679377,0.16543086359700465,Sunny,1,0,None,220,44.740481355370974,42,1,220,40,19.1,2.5,8,25,6,1,0,TRN045,6,240
2025-09-23 06:29:00,S1,0.1794201282977755,0.1708763126645481,2.168674698795181,0.38910389269397105,0.1708763126645481,Sunny,1,0,None,220,45.88402565955511,54,2,220,40,24.5,5.0,4,66,6,1,0,TRN045,6,240
2025-09-23 06:30:00,S1,0.1853352832366127,0.1765097935586787,2.168674698795181,0.4019319395492806,0.17650979355867874,Sunny,1,0,None,220,47.06705664732254,44,1,220,40,20.0,2.5,3,31,6,1,0,TRN045,6,240
2025-09-23 06:31:00,S1,0.1914509211393686,0.1823342106089225,2.168674698795181,0.41519476873598016,0.18233421060892246,Sunny,1,0,None,220,48.290184227873716,44,1,220,40,20.0,2.5,0,34,6,1,0,TRN045,6,240
2025-09-23 06:32:00,S1,0.1977699265043177,0.188352310956493,2.168674698795181,0.4288986357924963,0.18835231095649307,Sunny,1,0,None,220,49.553985300863545,54,2,220,40,24.5,5.0,11,57,6,1,0,TRN045,6,240
2025-09-23 06:33:00,S1,0.2042950055015683,0.1945666719062555,2.168674698795181,0.4430494095214735,0.1945666719062555,Sunny,1,0,None,220,50.859001100313655,61,2,220,40,27.7,5.0,5,48,6,1,0,TRN045,6,240
2025-09-23 06:34:00,S1,0.2110286725459804,0.200979688139029,2.168674698795181,0.4576525428708009,0.20097968813902894,Sunny,1,0,None,220,52.20573450919608,42,1,220,40,19.1,2.5,6,35,6,1,0,TRN045,6,240
2025-09-23 06:35:00,S1,0.2179732367575336,0.2075935588166986,2.168674698795181,0.4727130435705549,0.20759355881669866,Sunny,1,0,None,220,53.59464735150672,60,2,220,40,27.3,5.0,9,46,6,1,0,TRN045,6,240
2025-09-23 06:36:00,S1,0.2251307883451509,0.2144102746144294,2.168674698795181,0.4882354446039418,0.21441027461442944,Sunny,1,0,None,220,55.026157669030184,61,2,220,40,27.7,5.0,12,47,6,1,0,TRN045,6,240
